Theodor-Heuss-Straße | from 21509749 → 265590631
Schäfergasse | from 96078663 → 353892978
Endgasse | from 96078663 → 353892978
Zehentgasse | from 520014362 → 1694676882
Zehentgasse | from 520014362 → 32693874
Schäfergasse | from 32693880 → 96078494
Gerberstraße | from 32693880 → 96079297
Schäfergasse | from 96078494 → 353892978
Lammgasse | from 96078494 → 60475504
Schäfergasse | from 96078494 → 32693880
Zehentgasse | from 96079297 → 96078495
Gerberstraße | from 96079297 → 96080070
Rathausgasse | from 32693885 → 96086358
Lohtorstraße | from 96086358 → 96086354
Lohtorstraße | from 96086358 → 96084663
Rathausgasse | from 96086358 → 32693885
Gemmingergasse | from 32695945 → 436620163
Gemmingergasse | from 436620163 → 32695945
Gemmingergasse | from 436620163 → 442694563
Hasengasse | from 436620163 → 436620161
Am Kieselmarkt | from 32695950 → 96084660
Falkenstraße | from 32695950 → 415486429
Falkenstraße | from 32695950 → 1943409825
Falkenstraße | from 415486429 → 32695950
Falkenstraße | from 1943409825 → 32695950
Frankfurter Straße | from 32698593 → 249138231
Liebigstraße | from 1319335603 → 32857329
Bönnigheimer Straße | from 1306852108 → 32857329
Bamberger Straße | from 32859221 → 250138561
Würzburger Straße | from 32859221 → 250138594
Würzburger Straße | from 32859221 → 1556688058
Bamberger Straße | from 250138561 → 250138562
Bamberger Straße | from 250138561 → 32859221
Frankenstraße | from 250138561 → 423011607
Ansbacher Straße | from 250138594 → 250138595
Würzburger Straße | from 250138594 → 32863171
Würzburger Straße | from 250138594 → 32859221
Würzburger Straße | from 1556688058 → 32859221
Speyerer Straße | from 1556688058 → 1556688060
Kaiserslauterner Straße | from 32860549 → 1536878695
Homburger Straße | from 32860549 → 281070261
Kaiserslauterner Straße | from 32860549 → 1042254980
Kaiserslauterner Straße | from 1536878695 → 32860549
Saarbrückener Straße | from 1536878695 → 1536878684
Saarbrückener Straße | from 1536878695 → 1536878700
Homburger Straße | from 281070261 → 32860549
Schulstraße | from 281070261 → 281070258
Schulstraße | from 281070261 → 1536878662
Kaiserslauterner Straße | from 1042254980 → 32860555
Kaiserslauterner Straße | from 1042254980 → 32860549
Kaiserslauterner Straße | from 1042254980 → 10744724824
Kaiserslauterner Straße | from 32860555 → 95146694
Kaiserslauterner Straße | from 32860555 → 1042254980
Kaiserslauterner Straße | from 32860555 → 281068793
Siedlungsstraße | from 95146694 → 1042254973
Siedlungsstraße | from 95146694 → 423011104
Kaiserslauterner Straße | from 95146694 → 1042255065
Kaiserslauterner Straße | from 95146694 → 32860555
Kaiserslauterner Straße | from 281068793 → 32860555
Backhausstraße | from 32860567 → 250135686
Hintertorstraße | from 32860567 → 95149332
Schnepfbrunnenstraße | from 32860567 → 272058785
Neuwiesenstraße | from 250135686 → 250135683
Backhausstraße | from 250135686 → 1556688041
Backhausstraße | from 250135686 → 32860567
Hintertorstraße | from 95149332 → 667751133
Hintertorstraße | from 95149332 → 32860567
Schafhausstraße | from 95149332 → 95158373
Schnepfbrunnenstraße | from 272058785 → 32860567
['Stauchenstraße', 'Schnepfbrunnenstraße'] | from 272058785 → 250135679
Kirchstraße | from 272058785 → 835352797
Hintertorstraße | from 32860643 → 423010518
Hintertorstraße | from 423010518 → 32860643
Hintertorstraße | from 423010518 → 667751126
['Im Krautgarten', 'Lückenstraße'] | from 423010518 → 667751126
['Schafhausstraße', 'Hofäcker'] | from 32860645 → 667751133
Hintertorstraße | from 667751133 → 95158375
Hintertorstraße | from 667751133 → 95149332
['Schafhausstraße', 'Hofäcker'] | from 667751133 → 32860645
Hipfelhofer Straße | from 32860671 → 95158375
Hintertorstraße | from 95158375 → 667751133
Hipfelhofer Straße | from 95158375 → 32860671
Hintertorstraße | from 95158375 → 667751126
Burgundenstraße | from 32863171 → 250138573
Würzburger Straße | from 32863171 → 250138594
['Würzburger Straße', 'Frankenbacher Straße'] | from 32863171 → 81756021
Teutonenstraße | from 250138573 → 250138572
Burgundenstraße | from 250138573 → 250138572
Burgundenstraße | from 250138573 → 32863171
Widmannstal | from 81756021 → 81755998
['Würzburger Straße', 'Frankenbacher Straße'] | from 81756021 → 32863171
Frankenbacher Straße | from 81756021 → 428803439
Mühlbachstraße | from 32863203 → 1425196654
Böckinger Straße | from 32863203 → 354939743
Böckinger Straße | from 32863203 → 1524667298
Mühlbachstraße | from 1425196654 → 32863203
['Mittelstraße', 'Mühlbachstraße'] | from 1425196654 → 1250752082
Gebwinstraße | from 1425196654 → 1425196655
Obereisesheimer Straße | from 354939743 → 354939751
Böckinger Straße | from 354939743 → 32863211
Böckinger Straße | from 354939743 → 32863203
Leinbachstraße | from 32863211 → 423047248
Böckinger Straße | from 32863211 → 354939743
['Böckinger Straße', 'Im Fleischbeil'] | from 32863211 → 32863233
Leinbachstraße | from 423047248 → 81733991
Leinbachstraße | from 423047248 → 32863211
Haldenweg | from 423047248 → 81733997
Im Fleischbeil | from 32863233 → 81723878
Akazienweg | from 32863233 → 81723904
['Böckinger Straße', 'Im Fleischbeil'] | from 32863233 → 32863211
Im Fleischbeil | from 81723878 → 452168536
Im Fleischbeil | from 81723878 → 32863233
In der Steig | from 81723878 → 452168533
In der Steig | from 81723878 → 452168541
Akazienweg | from 81723904 → 32863233
Rainlesstraße | from 81723904 → 81723882
Rainlesstraße | from 81723904 → 81723901
Am Gesundbrunnen | from 32863248 → 6137160100
Am Gesundbrunnen | from 32863248 → 8752164967
Unnamed | from 32863248 → 8752164967
Manfred–Weinmann–Ring | from 6137160100 → 6137160084
Am Gesundbrunnen | from 6137160100 → 95140053
Am Gesundbrunnen | from 6137160100 → 32863248
Am Gesundbrunnen | from 8752164967 → 32863248
Unnamed | from 8752164967 → 32863248
Am Gesundbrunnen | from 8752164967 → 2083920987
Maasstraße | from 32863255 → 249850852
Am Gesundbrunnen | from 32863255 → 32863257
Am Gesundbrunnen | from 32863255 → 1035719674
Maasstraße | from 249850852 → 249850865
Maasstraße | from 249850852 → 32863255
Hanselmannstraße | from 249850852 → 249850875
Welschstraße | from 32863257 → 249850875
Am Gesundbrunnen | from 32863257 → 249853431
Am Gesundbrunnen | from 32863257 → 32863255
Am Gesundbrunnen | from 1035719674 → 2083920987
Am Gesundbrunnen | from 1035719674 → 32863255
Hanselmannstraße | from 249850875 → 249850877
Hanselmannstraße | from 249850875 → 249850852
Welschstraße | from 249850875 → 32863257
Am Gesundbrunnen | from 249853431 → 667748637
Florian-Geyer-Straße | from 249853431 → 249853417
Am Gesundbrunnen | from 249853431 → 32863257
Saarlandstraße | from 32863258 → 94964221
Am Gesundbrunnen | from 32863258 → 1728178633
Im Kreuzgrund | from 94964221 → 1728178673
Saarlandstraße | from 94964221 → 21778666
Im Kreuzgrund | from 94964221 → 94964225
Saarlandstraße | from 1728178633 → 1728178632
Am Gesundbrunnen | from 1728178633 → 1035719697
Wimpfener Weg | from 32973044 → 269102822
Hausener Straße | from 32973044 → 32973046
Hausener Straße | from 32973044 → 9418829520
['Wimpfener Weg', 'Eichhäuser Straße'] | from 269102822 → 310114255
Schloßstraße | from 269102822 → 310114584
Wimpfener Weg | from 269102822 → 32973044
Schloßstraße | from 269102822 → 421781705
Hausener Straße | from 32973046 → 423001641
Hausener Straße | from 32973046 → 32973044
Hausener Straße | from 32973046 → 1098347756
Unnamed | from 9418829520 → 9418817112
Hausener Straße | from 9418829520 → 32973044
Hausener Straße | from 423001641 → 32973046
Wormser Straße | from 423001641 → 423003579
Hausener Straße | from 1098347756 → 32973046
Eckenerstraße | from 33053023 → 1378696351
Güldensteinstraße | from 33053023 → 33053024
Güldensteinstraße | from 33053023 → 245962376
Borsigstraße | from 1378696351 → 1378696354
Eckenerstraße | from 1378696351 → 1378696405
Eckenerstraße | from 1378696351 → 33053023
Ernst-Wecker-Straße | from 245962376 → 1378696354
Güldensteinstraße | from 245962376 → 33053023
Güldensteinstraße | from 245962376 → 373479088
Robert-Bosch-Straße | from 267137738 → 33053024
Jörg-Ratgeb-Platz | from 267137738 → 1374092451
Robert-Bosch-Straße | from 267137738 → 255393391
Kunzestraße | from 33053626 → 1561447084
Kunzestraße | from 33053626 → 266652939
Fasanenstraße | from 33053626 → 1159361209
Kunzestraße | from 266652939 → 33053626
Fasanenstraße | from 1159361209 → 437321030
Pfühlstraße | from 1159361209 → 1159360853
Fasanenstraße | from 1159361209 → 33053626
Taxisstraße | from 33070792 → 265072648
Hohenloher Straße | from 33070792 → 260000130
Hohenloher Straße | from 33070792 → 258359604
Taxisstraße | from 265072648 → 33070792
Staadäckerstraße | from 265072648 → 1560929274
Taxisstraße | from 265072648 → 260000131
Johannesburger Straße | from 258359604 → 258359606
Hohenloher Straße | from 258359604 → 33070792
Hohenloher Straße | from 258359604 → 33070824
Hohenloher Straße | from 33070824 → 258359604
Hohenloher Straße | from 33070824 → 886868107
Ernst-Bader-Straße | from 33070824 → 95000477
Schleusenstraße | from 886868107 → 886868109
Hohenloher Straße | from 886868107 → 33070824
Talheimer Straße | from 886868107 → 33070859
Ernst-Bader-Straße | from 95000477 → 889314175
Amsterdamer Straße | from 95000477 → 260000131
Ernst-Bader-Straße | from 95000477 → 33070824
Hossäckerweg | from 33070859 → 257736733
Talheimer Straße | from 33070859 → 33070871
Talheimer Straße | from 33070859 → 886868107
Hossäckerweg | from 257736733 → 33070859
['Albert-Debold-Straße', 'Hossäckerweg'] | from 257736733 → 257736738
Jakob-Ramm-Straße | from 257736733 → 264649791
Talheimer Straße | from 33070871 → 33070859
Talheimer Straße | from 33070871 → 33070886
Nussäckerstraße | from 33070871 → 258359612
Wagenburgstraße | from 33070886 → 266637266
Talheimer Straße | from 33070886 → 260000119
Talheimer Straße | from 33070886 → 33070871
Nussäckerstraße | from 258359612 → 33070871
Johannesburger Straße | from 258359612 → 258359606
Nussäckerstraße | from 258359612 → 260000126
Johannesburger Straße | from 258359612 → 260000111
Wagenburgstraße | from 266637266 → 266644767
Wagenburgstraße | from 266637266 → 33070886
Wagenburgstraße | from 266637266 → 266637267
Lehmhaldenstraße | from 260000119 → 260000117
Lehmhaldenstraße | from 260000119 → 1116959519
Talheimer Straße | from 260000119 → 268919523
Talheimer Straße | from 260000119 → 33070886
Beethovenstraße | from 33203792 → 1255924044
Beethovenstraße | from 33203792 → 81701150
Zügelstraße | from 33203792 → 130134555
Zügelstraße | from 33203792 → 1252221016
Beethovenstraße | from 1255924044 → 1259519149
Beethovenstraße | from 1255924044 → 33203792
Nickelstraße | from 1255924044 → 1243241576
Nickelstraße | from 1255924044 → 1252220995
Beethovenstraße | from 81701150 → 33203792
Beethovenstraße | from 81701150 → 1243680719
Herweghstraße | from 81701150 → 130134553
Herweghstraße | from 81701150 → 1559022262
Kauffmannstraße | from 130134555 → 1243241576
Kauffmannstraße | from 130134555 → 316571443
Zügelstraße | from 130134555 → 33203792
Zügelstraße | from 1252221016 → 33203792
Louis-Hentges-Straße | from 1252221016 → 1559022262
Eichendorffstraße | from 1252221016 → 1252220994
Raidweg | from 1473284721 → 393988617
Raidweg | from 1473284721 → 33203794
Staufenbergstraße | from 33203799 → 33203803
Staufenbergstraße | from 33203799 → 38157924
Parkstraße | from 33203799 → 95061575
Sankt-Martin-Straße | from 38157924 → 95061584
Staufenbergstraße | from 38157924 → 95063773
Staufenbergstraße | from 38157924 → 33203799
Hofwiesenstraße | from 95061575 → 95061578
Hofwiesenstraße | from 95061575 → 95061582
Parkstraße | from 95061575 → 60700717
Parkstraße | from 95061575 → 33203799
Zwirnereistraße | from 33203801 → 33203803
Zwirnereistraße | from 33203801 → 95061955
Zwirnereistraße | from 33203801 → 255712661
Elsa-Sitter-Weg | from 33240933 → 33240882
Schillerstraße | from 33972181 → 96062011
Oststraße | from 33972181 → 96061569
Schillerstraße | from 96062011 → 289467301
Goethestraße | from 96062011 → 96061992
Goethestraße | from 96062011 → 96062338
Schillerstraße | from 96062011 → 33972181
Pfühlstraße | from 96061569 → 96061992
Oststraße | from 96061569 → 534972405
Austraße | from 33973496 → 2903635970
Hans-Seyfer-Straße | from 33973496 → 2619432200
Hans-Seyfer-Straße | from 2903635970 → 518338404
Austraße | from 2903635970 → 496286949
Austraße | from 2619432200 → 1026434174
Hans-Seyfer-Straße | from 2619432200 → 60330069
Grundäckerstraße | from 1103272428 → 249859122
Grundäckerstraße | from 1103272428 → 33986500
Unnamed | from 1103272428 → 12507024725
Elisabethenstraße | from 34484298 → 710971586
Vogelsangstraße | from 34484298 → 254306911
Elisabethenstraße | from 34484298 → 94905110
Elisabethenstraße | from 710971586 → 34484298
Elisabethenstraße | from 710971586 → 94901223
Vogelsangstraße | from 710971586 → 254306908
Lauffener Straße | from 34567597 → 34567595
['Hauptstraße', 'Deinenbachstraße'] | from 34567597 → 655154934
Hermann-Wolf-Straße | from 34567597 → 60700717
['Bundschuhstraße', 'Am Melchiorsgraben'] | from 255722931 → 255722958
Am Melchiorsgraben | from 255722931 → 34567595
Quellenstraße | from 255722931 → 614419674
['Deinenbachstraße', 'Hauptstraße'] | from 655154934 → 34567597
Deinenbachstraße | from 655154934 → 255723994
['Görresstraße', 'Deinenbachstraße'] | from 655154934 → 255725030
Parkstraße | from 60700717 → 95061575
Hermann-Wolf-Straße | from 60700717 → 432387967
Hermann-Wolf-Straße | from 60700717 → 34567597
Herbert-Hoover-Straße | from 35974283 → 409138616
Herbert-Hoover-Straße | from 35974283 → 409138616
Herbert-Hoover-Straße | from 35974283 → 95112515
Herbert-Hoover-Straße | from 409138616 → 35974283
Herbert-Hoover-Straße | from 409138616 → 35974283
Herbert-Hoover-Straße | from 409138616 → 95112515
Herbert-Hoover-Straße | from 95112515 → 35974283
Herbert-Hoover-Straße | from 95112515 → 86050654
Herbert-Hoover-Straße | from 95112515 → 409138616
Kauffmannstraße | from 1243241576 → 36464149
Kauffmannstraße | from 1243241576 → 130134555
Nickelstraße | from 1243241576 → 1255924044
Kauffmannstraße | from 343206180 → 36464149
Kanalstraße | from 3900621035 → 1072721611
Neckargartacher Straße | from 36670902 → 800171275
Neckargartacher Straße | from 36670902 → 1728178513
Neckargartacher Straße | from 800171275 → 2172103027
Unnamed | from 800171275 → 800171276
Unnamed | from 36670913 → 26752762
Neckargartacher Straße | from 36670913 → 12657294311
Landturmstraße | from 12657294311 → 12657294303
Neckargartacher Straße | from 12657294311 → 36670913
Neckargartacher Straße | from 12657294311 → 713844313
Christophstraße | from 1069988887 → 36745401
Christophstraße | from 95964084 → 36745401
Christophstraße | from 95964084 → 95964081
Hans-Seyfer-Straße | from 95964084 → 60330069
Sankt-Martin-Straße | from 95061584 → 38157924
Sankt-Martin-Straße | from 95061584 → 95061582
Sommerau | from 95061584 → 385123796
Staufenbergstraße | from 95063773 → 38157924
Friedrich-Ackermann-Straße | from 95063773 → 95061585
Staufenbergstraße | from 95063773 → 385123749
Sommerau | from 38157975 → 266010795
Sommerau | from 38157975 → 38157993
Sommerau | from 38157975 → 385123796
Staufenbergstraße | from 266010795 → 95063787
Staufenbergstraße | from 266010795 → 95065926
Sommerau | from 266010795 → 38157975
Sommerau | from 38157993 → 38157975
Hofwiesenstraße | from 38157993 → 95065926
Hofwiesenstraße | from 38157993 → 95061582
Sommerau | from 385123796 → 385123749
Sommerau | from 385123796 → 38157975
Staufenbergstraße | from 95065926 → 428069331
Staufenbergstraße | from 95065926 → 266010795
Max-Planck-Straße | from 95065926 → 95064971
Hofwiesenstraße | from 95065926 → 38157993
Sankt-Martin-Straße | from 95061582 → 95061584
Hofwiesenstraße | from 95061582 → 38157993
Hofwiesenstraße | from 95061582 → 95061575
Turnerstraße | from 38196333 → 38196333
Turnerstraße | from 38196333 → 38196333
Turnerstraße | from 38196333 → 94630138
Seeligstraße | from 38229347 → 94872075
Seeligstraße | from 94872075 → 38229347
Seeligstraße | from 94872075 → 38229354
Reinerstraße | from 94872075 → 94870757
Seeligstraße | from 38229354 → 94872075
Lämlinstraße | from 38229354 → 38229383
Lämlinstraße | from 38229354 → 94870763
Lämlinstraße | from 38229383 → 38229354
Zellerstraße | from 38916856 → 38909137
Zellerstraße | from 38916856 → 38908430
Lenzweg | from 38916856 → 38919213
Landwehrstraße | from 441777005 → 94626426
Grünewaldstraße | from 441777005 → 38927726
Grünewaldstraße | from 441777005 → 38908430
Landwehrstraße | from 38919213 → 38927755
Landwehrstraße | from 38919213 → 38920349
Lenzweg | from 38919213 → 38916856
Forchenweg | from 38927755 → 82615200
Landwehrstraße | from 38927755 → 38919213
Landwehrstraße | from 38927755 → 94626426
Wacholderweg | from 38920349 → 38920351
Landwehrstraße | from 38920349 → 38919213
Landwehrstraße | from 38920349 → 94616719
Landwehrstraße | from 38920346 → 94616719
Landwehrstraße | from 94616719 → 38920346
Unnamed | from 94616719 → 94624349
Landwehrstraße | from 94616719 → 38920349
Wacholderweg | from 38920351 → 38920349
Heidenrain | from 38920351 → 38920352
Heidenrain | from 38920351 → 82615200
Heidenrain | from 38920352 → 38920351
Forchenweg | from 82615200 → 38927755
Heidenrain | from 82615200 → 38927726
Heidenrain | from 82615200 → 38920351
Heidenrain | from 38927726 → 82615200
Grünewaldstraße | from 38927726 → 2775389423
Grünewaldstraße | from 38927726 → 441777005
Jahnheide | from 2775389423 → 2775389420
['Jahnheide', 'Grünewaldstraße'] | from 2775389423 → 714044375
Grünewaldstraße | from 2775389423 → 38927726
Landwehrstraße | from 94626426 → 441777005
Landwehrstraße | from 94626426 → 38927805
Landwehrstraße | from 94626426 → 38927755
Landwehrstraße | from 38927805 → 94626426
Hortensienweg | from 38927992 → 94917528
Münzerstraße | from 38929389 → 94905087
Münzerstraße | from 94905087 → 38929389
Fürfelder Straße | from 94905087 → 94905095
['Münzerstraße', 'Salzburger Straße'] | from 94905087 → 94905116
Riedstraße | from 41318327 → 12657650541
Riedstraße | from 12657650541 → 41318327
['Öhringer Straße', 'Haller Straße'] | from 12657650541 → 1556915843
Haller Straße | from 12657650541 → 1561854865
Kreuzenstraße | from 41318714 → 361202065
Kreuzenstraße | from 41318714 → 361202085
Kreuzenstraße | from 41318714 → 361202097
Kreuzenstraße | from 361202065 → 41318714
Kreuzenstraße | from 361202065 → 361202070
Kreuzenstraße | from 361202065 → 264383357
Kreuzenstraße | from 361202085 → 41318714
Leisbrunnenstraße | from 56398064 → 95158373
Leisbrunnenstraße | from 95158373 → 56398064
Schafhausstraße | from 95158373 → 1055806680
Schafhausstraße | from 95158373 → 95149332
Leintalstraße | from 56398092 → 95147953
Leintalstraße | from 95147953 → 56398092
Leintalstraße | from 95147953 → 1055806680
Leintalstraße | from 95147953 → 1536878700
Böcklerstraße | from 56402436 → 1145614001
Heidelberger Straße | from 56402436 → 94953671
Heidelberger Straße | from 56402436 → 1213801090
Böcklerstraße | from 1145614001 → 1145614001
Böcklerstraße | from 1145614001 → 1145614001
Böcklerstraße | from 1145614001 → 56402436
Heidelberger Straße | from 94953671 → 251355092
Im Kreuzgrund | from 94953671 → 94954349
Heidelberger Straße | from 94953671 → 56402436
Keplerstraße | from 57185634 → 500708189
Friedensplatz | from 57185634 → 1558997512
Moltkestraße | from 1558997512 → 249180260
Tabakstraße | from 59938548 → 266504485
Nussäckerstraße | from 59938548 → 260000125
Nussäckerstraße | from 59938548 → 260000126
Tabakstraße | from 266504485 → 59938548
Siebenbürgenstraße | from 266504485 → 266504451
Siebenbürgenstraße | from 266504485 → 266504479
Baltenstraße | from 260000125 → 266524726
Nussäckerstraße | from 260000125 → 59938559
Nussäckerstraße | from 260000125 → 59938548
Havannastraße | from 260000126 → 266504479
Nussäckerstraße | from 260000126 → 59938548
Nussäckerstraße | from 260000126 → 258359612
Nussäckerstraße | from 59938559 → 260729621
Nussäckerstraße | from 59938559 → 260000125
Heilbronner Weg | from 59938559 → 266522988
Nussäckerstraße | from 260729621 → 59938559
Pappelweg | from 260729621 → 266524726
Nussäckerstraße | from 260729621 → 258054248
Szillaweg | from 266522988 → 266522984
Heilbronner Weg | from 266522988 → 59938559
Heilbronner Weg | from 266522988 → 266773037
Karmeliterstraße | from 60328724 → 534967489
Karmeliterstraße | from 60328724 → 96055557
Klettstraße | from 60328724 → 535188972
Weinsberger Straße | from 534967489 → 535202388
Karmeliterstraße | from 534967489 → 60328724
Karmeliterstraße | from 96055557 → 60328724
Karmeliterstraße | from 96055557 → 739963329
Schillerstraße | from 96055557 → 535188968
Schillerstraße | from 96055557 → 739900911
Klettstraße | from 535188972 → 60328724
Oststraße | from 535188972 → 535188968
Goppeltstraße | from 60330067 → 95949573
Ellwanger Straße | from 60330067 → 95964070
Goppeltstraße | from 60330067 → 441246097
Goppeltstraße | from 95949573 → 60330067
Handwerkerhof | from 95949573 → 95964065
Goppeltstraße | from 95949573 → 2619432188
Ellwanger Straße | from 95964070 → 95964068
Ellwanger Straße | from 95964070 → 60330067
Christophplatz | from 95964070 → 95964082
Bauleuteweg | from 441246097 → 441245900
Goppeltstraße | from 441246097 → 441245802
Goppeltstraße | from 441246097 → 60330067
Ellwanger Straße | from 60330069 → 95964068
Hans-Seyfer-Straße | from 60330069 → 95964084
Hans-Seyfer-Straße | from 60330069 → 2619432200
Ellwanger Straße | from 95964068 → 95964070
Ellwanger Straße | from 95964068 → 60330069
Christophplatz | from 95964068 → 95964081
Am Viehweg | from 60330264 → 60330276
Salzgrundstraße | from 60330264 → 1554358469
Salzgrundstraße | from 60330264 → 1554352312
Am Viehweg | from 60330276 → 60330264
Am Salzwerkplatz | from 1554352312 → 423743338
Salzgrundstraße | from 1554352312 → 1191956574
Salzgrundstraße | from 1554352312 → 60330264
Lammgasse | from 60475504 → 491491180
Lammgasse | from 491491180 → 60475504
Sülmermühlstraße | from 491491180 → 318718134
Turmstraße | from 491491180 → 2909890644
Im Sternberg | from 60608978 → 445399410
Egerten | from 60700451 → 1102833756
Horkheimer Straße | from 1102833756 → 1161142502
Egerten | from 1102833756 → 60700451
Hermann-Wolf-Straße | from 60700708 → 432387967
Hermann-Wolf-Straße | from 432387967 → 432387964
Hermann-Wolf-Straße | from 432387967 → 60700708
Hermann-Wolf-Straße | from 432387967 → 60700717
Eulenweg | from 60941230 → 60953674
Schwalbenweg | from 60953674 → 60941845
Eulenweg | from 60953674 → 60941230
Eulenweg | from 60953674 → 60953673
Kastanienweg | from 60941828 → 94922478
Kastanienweg | from 60941828 → 60941827
Eibenweg | from 60941828 → 60952482
Fliederweg | from 1345205161 → 60941827
Kastanienweg | from 94922478 → 60941828
Holunderweg | from 94922478 → 248060126
Kastanienweg | from 94922478 → 60941829
Eibenweg | from 60952482 → 60941828
Kastanienweg | from 60941829 → 60941832
Kastanienweg | from 60941829 → 94922478
Ahornweg | from 60941829 → 94982179
Platanenstraße | from 60941832 → 94925287
Kastanienweg | from 60941832 → 94960102
Kastanienweg | from 60941832 → 60941829
Ahornweg | from 94982179 → 60941829
Platanenstraße | from 94925287 → 60941832
Platanenstraße | from 94925287 → 94944265
Tannenweg | from 94925287 → 353895486
Kastanienweg | from 94960102 → 60941835
Kastanienweg | from 94960102 → 60941832
Im Kreuzgrund | from 60941835 → 94960105
Im Kreuzgrund | from 60941835 → 60941836
Kastanienweg | from 60941835 → 94960102
Im Kreuzgrund | from 94960105 → 60951711
Im Kreuzgrund | from 94960105 → 60941835
Kastanienweg | from 94960105 → 94960102
Starenweg | from 60941836 → 60953677
Im Kreuzgrund | from 60941836 → 60941838
Im Kreuzgrund | from 60941836 → 60941835
Starenweg | from 60953677 → 94978065
Starenweg | from 60953677 → 60941836
['Sperberweg', 'Eulenweg'] | from 60953677 → 60953671
Hofweg | from 60941838 → 94958496
Im Kreuzgrund | from 60941838 → 94978069
Im Kreuzgrund | from 60941838 → 60941836
Hofweg | from 94958496 → 94958491
Lindenhof | from 94958496 → 60951710
Lindenhof | from 94958496 → 60951711
Hofweg | from 94958496 → 60941838
Distelfinkweg | from 94978069 → 94978065
Im Kreuzgrund | from 94978069 → 60941839
Im Kreuzgrund | from 94978069 → 60941838
Im Kreuzgrund | from 60941839 → 94964225
Sperlingweg | from 60941839 → 94970030
Im Kreuzgrund | from 60941839 → 94978069
Im Kreuzgrund | from 94964225 → 60941839
Reiherweg | from 94964225 → 7531636293
Im Kreuzgrund | from 94964225 → 94964221
Sperlingweg | from 94970030 → 60953673
Starenweg | from 94970030 → 60941845
Starenweg | from 94970030 → 60953679
Sperlingweg | from 94970030 → 60941839
Schwalbenweg | from 60941845 → 60953674
Starenweg | from 60941845 → 94970030
Schwalbenweg | from 60941845 → 60941847
Schwalbenweg | from 60941847 → 60941845
Buchenhof | from 60951571 → 94955768
Hofweg | from 94955768 → 94958486
Buchenhof | from 94955768 → 94954349
Buchenhof | from 94955768 → 60951571
Eichenhof | from 60951706 → 94958486
Hofweg | from 94958486 → 94955768
Hofweg | from 94958486 → 94958491
Eichenhof | from 94958486 → 60951706
Eichenhof | from 94958486 → 94952253
Birkenhof | from 60951708 → 94958491
Hofweg | from 94958491 → 94958486
Hofweg | from 94958491 → 94958496
Birkenhof | from 94958491 → 60951708
Birkenhof | from 94958491 → 94964218
Lindenhof | from 60951710 → 94958496
Im Kreuzgrund | from 60951711 → 94960105
Im Kreuzgrund | from 60951711 → 353895486
Lindenhof | from 60951711 → 94958496
Im Kreuzgrund | from 353895486 → 60951711
Im Kreuzgrund | from 353895486 → 94964218
Tannenweg | from 353895486 → 94925287
Ulmenweg | from 60951964 → 94953676
Im Kreuzgrund | from 94953676 → 94952253
Im Kreuzgrund | from 94953676 → 94954349
Ulmenweg | from 94953676 → 60951964
Distelfinkweg | from 60953671 → 94978065
Eulenweg | from 60953671 → 60953672
['Sperberweg', 'Eulenweg'] | from 60953671 → 60953677
Distelfinkweg | from 94978065 → 60953671
Distelfinkweg | from 94978065 → 94978069
Starenweg | from 94978065 → 60953677
Starenweg | from 94978065 → 60953679
Eulenweg | from 60953672 → 60953673
Eulenweg | from 60953672 → 60953671
Finkenweg | from 60953672 → 60953679
Sperlingweg | from 60953673 → 94970030
Eulenweg | from 60953673 → 60953674
Eulenweg | from 60953673 → 60953672
Starenweg | from 60953679 → 94970030
Starenweg | from 60953679 → 94978065
Finkenweg | from 60953679 → 60953672
Hiplerweg | from 254504951 → 12657650556
['Krugstraße', 'Eichelberger Weg'] | from 254504951 → 268094766
Krugstraße | from 254504951 → 60954457
Eichelberger Weg | from 254504961 → 254504958
Armsündersteige | from 254504961 → 60954489
Armsündersteige | from 254504961 → 60954457
Armsündersteige | from 60954489 → 254504961
Unnamed | from 1634280530 → 76704871
Unnamed | from 1634280530 → 12551734746
Horkheimer Straße | from 12551734746 → 9362423858
Horkheimer Straße | from 76704877 → 9362423858
Horkheimer Straße | from 76704877 → 4100191552
Lauffener Straße | from 76704877 → 12551734728
Horkheimer Straße | from 9362423858 → 76704877
Horkheimer Straße | from 9362423858 → 76704871
Horkheimer Straße | from 4100191552 → 76704877
Horkheimer Straße | from 4100191552 → 1161142502
Unnamed | from 4100191552 → 12551734728
Lauffener Straße | from 12551734728 → 1102834034
Louis-Hentges-Straße | from 1559022262 → 1252221076
Herweghstraße | from 1559022262 → 81701150
Louis-Hentges-Straße | from 1559022262 → 1252221016
Im Fleischbeil | from 452168536 → 81723878
Im Fleischbeil | from 452168536 → 452168534
Im Fleischbeil | from 452168536 → 452168545
Brögerstraße | from 452168536 → 452168541
In der Steig | from 452168533 → 81723878
In der Steig | from 452168541 → 81723882
In der Steig | from 452168541 → 81723878
Brögerstraße | from 452168541 → 452168536
Rainlesstraße | from 81723882 → 81723904
In der Steig | from 81723882 → 81723897
In der Steig | from 81723882 → 452168541
In der Steig | from 81723897 → 81723882
Scheidemannstraße | from 81723897 → 81723901
In der Steig | from 81723897 → 81723887
['Weinbergstraße', 'Rainlesstraße'] | from 81723887 → 81723901
In der Steig | from 81723887 → 418938561
In der Steig | from 81723887 → 81723897
Scheidemannstraße | from 81723901 → 81723897
